participant number,astrologicalSign,astrologicalSign_Aquarius,astrologicalSign_Aries,astrologicalSign_Cancer,astrologicalSign_Capricorn,astrologicalSign_Gemini,astrologicalSign_Leo,astrologicalSign_Libra,astrologicalSign_Pisces,astrologicalSign_Sagittarius,astrologicalSign_Scorpio,astrologicalSign_Tauras,astrologicalSign_Virgo,MBTI-style,MBTI-style_E,MBTI-style_S,MBTI-style_T,MBTI-style_J,Big5_E,Big5_O,Big5_A,Big5_C,Big5_N,Enneagram_type,Enneagram_type_1 score,Enneagram_type_2 score,Enneagram_type_3 score,Enneagram_type_4 score,Enneagram_type_5 score,Enneagram_type_6 score,Enneagram_type_7 score,Enneagram_type_8 score,Enneagram_type_9 score,outcome_HomeOwner,outcome_SatisfiedWithLife,outcome_SatisfiedWithWorkLife,outcome_SatisfiedWithRomanticLife,outcome_numberOfTimesHospitalizedInPast5Years,outcome_NumberOfServicesWithFailedPaymentsInPast5Years,outcome_numberOfPeopleWhoWouldHelpThemInEmergency,outcome_BMI,outcome_SatisfiedWithPhysicalHealth,outcome_SatisfiedWithSocialLife,outcome_HoursOfModerateExercisePerWeek,outcome_considersThemselvesReligious,outcome_EmploymentLevel,outcome_numberOfDeepEmotionalConnections,outcome_relationshipSeriousness,outcome_numberOfFeedbacksReceivedInLastYear,outcome_levelOfSuicidality,outcome_numberOfEventsPlannedInLastYear,outcome_numberOfVolunteeringsInLastYear,outcome_numberOfPromotionsInLastFiveYears,outcome_TraumaImpact,outcome_numberOfPaidWorkHoursPerWeek,householdIncomeEstimate,outcome_MeditationMinutesPerDay,outcome_Conservativeness,outcome_highestLevelOfEducation,outcome_age,outcome_femaleAs1MaleAs0,outcome_numberOfMonthsSpentInJailOrPrison,outcome_NumberOfCriminalConvictionsInLast5Years,outcome_numberOfTimesFiredInPast5Years,outcome_DietVeg,outcome_DietMediterranean,outcome_DietLowCarb,hoursOfSleepPerNight,outcome_numberOfTrainingsInLastYear,outcome_numberOfAwardsInLastYear,outcome_TimesOfPhysicalForceWithoutProvocationInLast5Years,outcome_NumberOfCrimesTheyAreVictimOfInLast5Years
328,,,,,,,,,,,,,,ISTJ,27,63,59,74,29,58,69,86,61,6,83,73,40,63,40,93,13,53,77,,,,,,,,,,,,,,,,,,,,,,,72500,,,,,,,,,,,,,,,,
329,,,,,,,,,,,,,,INFJ,33,30,26,76,36,75,94,78,29,1,87,80,13,63,83,63,40,33,77,,,,,,,,,,,,,,,,,,,,,,,4500,,,,,,,,,,,,,,,,
330,,,,,,,,,,,,,,ISTJ,38,48,60,64,50,57,65,68,26,3,67,67,43,40,63,53,37,57,57,,,,,,,,,,,,,,,,,,,,,,,4500,,,,,,,,,,,,,,,,
331,,,,,,,,,,,,,,ENTP,66,38,71,48,65,78,57,79,24,7,77,53,53,37,80,43,73,77,40,,,,,,,,,,,,,,,,,,,,,,,32500,,,,,,,,,,,,,,,,
332,,,,,,,,,,,,,,ISFJ,8,47,51,77,14,63,74,81,44,6,80,50,30,57,70,73,20,50,67,,,,,,,,,,,,,,,,,,,,,,,32500,,,,,,,,,,,,,,,,
333,,,,,,,,,,,,,,ESTJ,67,44,70,68,54,65,58,85,36,7,90,40,43,13,63,83,90,77,53,2,2,2,2,2.5,0,7,26.47137866,1,2,0.75,-3,1,4,4,0,0,1,0,0,2,45,50000,0,-2,5,36,0,0,0,0,0,0,1,7,0,0,0,0
334,,,,,,,,,,,,,,ENTJ,76,30,54,77,82,93,90,86,72,4,90,83,73,97,97,67,87,90,47,0,-3,-3,-2,1,0,7,23.11862245,1,-1,6,-3,1,10,1,2.5,1,1,1,1,2,40,50000,0,-3,5,44,1,0,0,1,0,0,1,7,0,0,0,5
335,,,,,,,,,,,,,,ISTJ,14,78,71,97,19,47,53,69,99,9,63,67,33,63,53,83,0,43,93,0,-3,-3,-3,0,0,3,31.40495868,-3,1,0,-3,0,3,0,0,1,2.5,0,0,0,30,4500,0,-2,2,43,0,0,0,0,0,0,0,9,0,0,0,0
336,,,,,,,,,,,,,,ENFP,78,33,33,36,75,47,85,46,15,7,33,77,60,30,40,53,70,33,70,0,1,-2,2,0,3,8,20.82644628,2,2,3,-2,1,6,2,0,0,2.5,0,0,1,40,17500,0,-1,2,38,1,0,0,0,0,0,0,8,0,0,0,0
337,,,,,,,,,,,,,,ENTP,58,32,56,50,63,76,61,83,33,3,87,60,77,60,83,77,43,77,67,2,3,2,2,0,0,1,17.36111111,3,2,6,3,1,1,3,2.5,0,4.5,7.5,2.5,0,54,32500,15,2,5,29,0,0,0,0,0,0,0,7,2,1,0,0
338,,,,,,,,,,,,,,INFP,11,27,37,60,14,63,82,36,33,2,30,73,0,50,77,30,17,30,73,0,-2,1,3,0,0,5,22.32142857,-2,3,3,-3,0.5,3,0,2.5,1,0,0,0,2,25,17500,0,-3,5,36,0,0,0,0,0,0,1,6,2,0,0,0
339,,,,,,,,,,,,,,ISTJ,26,54,66,66,35,72,63,76,32,8,70,63,40,30,70,70,40,73,30,3,2,1,2,0,0,5,30.24105186,-1,2,1.5,-2,1,5,4,2.5,0,1,0,1,1,50,72500,0,0,4,45,0,0,0,0,0,0,0,6,0,0,0,0
340,,,,,,,,,,,,,,INTJ,20,31,74,74,8,93,76,92,54,8,93,63,27,33,97,70,57,87,80,2,-2,2,0,0,0,2,27.38447807,-2,-2,0,-3,1,1,0,0,0,0,0,0,2,40,32500,0,-2,5,77,1,0,0,0,0,0,0,7,0,0,0,1
341,,,,,,,,,,,,,,ENTJ,53,37,60,64,65,72,75,90,46,6,93,63,57,53,93,97,33,83,97,2,3,3,3,0,0,3,22.57785467,3,2,0.375,-1,1,2,4,0,5,2.5,3,1,0,40,17500,0,-2,5,51,1,0,0,0,0,0,0,8,0,1,0,0
342,,,,,,,,,,,,,,ENFJ,46,42,37,83,44,63,86,82,46,2,83,90,47,43,53,80,53,67,87,1,0,1,3,0,7,4,41.66666667,-1,1,0,-2,1,4,4,2.5,0,2.5,0,2.5,0,40,50000,0,0,3,31,0,0,0,0,0,0,1,5,0,0,0,0
343,,,,,,,,,,,,,,ISTJ,20,51,68,86,35,60,47,64,51,9,57,50,30,43,73,70,27,50,83,2,-1,-1,-2,1,0,4,22.91666667,1,-1,0,1,1,1,4,2.5,0,2.5,0,0,0,65,175000,0,-1,6,54,0,0,0,0,0,0,0,6,0,0,0,0
344,,,,,,,,,,,,,,ISTP,8,59,88,57,6,54,33,64,68,4,60,23,37,70,63,57,33,53,70,2,-2,-1,-1,0,0,0,28.79295419,-3,0,1.5,0,1,0,0,2.5,3,0,0,0,4,60,17500,0,-2,2,45,1,0,0,0,0,0,0,6,0,0,0,1
345,,,,,,,,,,,,,,ENFP,81,37,51,63,78,81,74,94,28,1,97,77,73,57,90,67,83,70,50,3,3,3,3,1,0,5,21.71806609,3,3,12,3,1,2,4,5,0,6,7.5,2.5,1,40,132500,25,-3,6,38,1,0,0,0,1,0,0,8,2,2.5,0,1
346,,,,,,,,,,,,,,ENTJ,70,42,63,67,60,72,65,60,22,7,50,57,30,33,77,60,80,73,53,2,2,2,3,0,0,10,54.68059588,-1,2,1.5,-2,1,4,4,2.5,1,0,0,0,0,55,72500,0,-2,4,48,0,0,0,0,0,0,0,8,2,0,0,0
347,,,,,,,,,,,,,,INFP,28,33,50,63,31,74,79,71,58,5,70,73,50,63,97,73,30,43,90,0,1,1,2,0,0,4,26.27509153,1,1,0.375,-3,0.5,1,4,0,1,1,0,1,3,25,72500,0,-1,2,32,0,0,0,0,0,1,0,7,0,0,0,0
348,,,,,,,,,,,,,,ENTP,51,42,66,54,44,67,58,63,40,3,50,43,57,53,77,60,60,63,60,0,2,1,2,0,0,4,32.32653061,1,0,6,1,1,9,4,5,0,6,7.5,1,1,50,132500,15,2,6,40,0,0,0,0,0,1,0,8,0,1,0,1
349,,,,,,,,,,,,,,INTP,13,32,58,22,18,74,60,6,24,5,3,27,20,33,83,7,37,43,40,0,-1,-1,3,0,0,3,28.09917355,-3,1,0,-3,0.5,3,0,0,1,0,0,0,1,30,4500,0,-3,5,32,,0,0,0,0,0,0,6,0,0,0,0
350,,,,,,,,,,,,,,ENFP,67,39,47,49,75,79,67,64,32,3,57,67,80,47,87,63,77,57,57,3,3,3,3,0,0,1,19.92984694,3,3,6,3,1,1,4,7,0,1,11,1,0,49,100000,0,3,5,22,1,0,0,0,1,0,0,8,0,1,0,0
351,,,,,,,,,,,,,,ISTJ,38,62,57,86,46,72,78,72,31,6,63,53,57,37,87,90,53,57,63,3,2,2,3,0,0,2,23.91581633,2,2,6,3,1,4,4,1,0,2.5,3,1,1,50,50000,25,-2,5,43,1,0,0,0,1,0,0,9,1,0,0,0
352,,,,,,,,,,,,,,INFJ,18,42,52,92,24,79,86,85,47,1,90,70,10,40,70,60,30,70,37,2,1,-1,1,0,0,5,25.40554782,-2,1,0.375,-3,0.5,4,4,0,0,2.5,3,0,2,10,32500,15,-2,2,42,1,0,0,0,0,0,0,6,0,0,0,1
353,,,,,,,,,,,,,,INFP,40,22,52,36,51,83,69,69,40,8,70,43,50,53,80,63,57,83,47,2,1,1,-2,0,2,3,28.79295419,1,-2,0.75,-2,1,2,0,2.5,2,0,0,0,2,60,32500,0,1,5,52,1,0,0,0,0,0,0,6,2,0,0,0
354,,,,,,,,,,,,,,ESTP,70,52,67,60,47,49,63,53,28,7,60,57,43,37,70,67,67,57,60,3,2,0,2,0,0,5,27.09342561,-1,2,0.375,1,0.5,3,4,5,0,2.5,0,0,2,22,72500,5,1,5,45,0,0,0,0,0,0,0,6.5,2,0,0,1
355,,,,,,,,,,,,,,ESTJ,53,51,54,68,53,54,57,72,46,7,73,57,50,40,57,53,67,63,47,3,3,2,3,0,0,6,20.62964015,2,3,3,1,0.5,5,4,0,0,2.5,3,0,2,20,225000,0,0,4,38,1,0,0,0,0,0,0,8,0,0,0,0
356,,,,,,,,,,,,,,ISFJ,29,48,52,74,29,56,74,76,68,4,77,70,33,83,77,77,40,53,90,3,1,1,1,0,0,10,25.90389518,1,2,6,2,1,2,4,2.5,1,1,1,0,3,42,132500,0,1,5,41,0,0,0,0,0,0,0,7,0,0,0,0
357,,,,,,,,,,,,,,INFJ,4,43,34,92,6,33,93,75,74,9,83,87,10,77,50,73,10,27,100,0,-3,-3,1,2.5,0,2,33.53532312,-3,-3,1.5,-3,0.5,2,3,0,0,1,0,0,3,35,17500,0,-3,2,38,1,0,0,0,0,1,0,6,0,0,0,0
358,,,,,,,,,,,,,,ENTP,61,27,57,58,68,82,65,67,33,7,67,40,50,37,83,33,70,70,50,0,1,2,3,2.5,1,3,24.609375,2,2,1.5,3,1,3,0,2.5,0,2.5,3,0,2,30,17500,60,-1,3,43,1,0,0,0,0,0,0,9,0,1,0,2
359,,,,,,,,,,,,,,ESTP,67,46,66,44,68,65,71,67,19,8,60,67,43,33,73,53,67,83,47,2,1,1,-1,0,0,10,26.8744961,1,-1,3,2,1,8,3,5,0,2.5,7.5,1,1,60,50000,0,1,4,57,0,0,0,0,0,0,0,6,0,1,0,0
360,,,,,,,,,,,,,,ISTJ,16,48,72,80,6,61,54,75,67,6,77,33,13,40,70,77,30,43,67,0,1,-3,-3,2.5,0,0,22.5972742,-2,-2,0.75,-3,0,0,0,2.5,5,0,0,0,2,25,17500,0,-3,2,40,0,0,0,0,0,0,0,6,0,2.5,0,0
361,,,,,,,,,,,,,,INTJ,40,36,60,67,40,64,85,58,50,9,60,63,30,50,80,53,47,57,73,3,1,2,0,0,0,7,30.5785124,1,1,6,-1,1,3,0,2.5,1,0,0,0,3,45,50000,0,-3,3,58,1,0,0,0,0,1,0,7,0,0,0,0
362,,,,,,,,,,,,,,INFP,37,39,50,58,44,75,72,64,63,6,63,73,43,63,80,73,53,47,67,2,1,2,1,2.5,0,7,25.56049317,1,1,6,-2,1,4,4,7,1,2.5,11,1,1,40,100000,5,-2,6,33,0,0,0,0,0,0,1,7,3.5,1,0,0
363,,,,,,,,,,,,,,INTJ,44,34,71,84,60,71,72,88,49,5,70,73,60,60,100,50,57,63,57,0,3,0,3,0,0,2,30.3633218,0,3,1.5,-3,1,5,4,7,0,4.5,0,0,0,40,17500,25,0,5,30,0,0,0,0,0,0,0,6,0,0,0,0
364,,,,,,,,,,,,,,ESTP,77,44,63,52,67,51,49,43,4,7,33,43,40,10,50,50,80,77,47,3,2,2,3,0,0,8,23.55421005,2,2,3,-2,1,4,4,1,0,4.5,1,0,0,45,72500,0,-2,5,48,0,0,0,0,0,0,0,8.5,0,0,0,0
365,,,,,,,,,,,,,,INTP,33,3,84,10,33,97,18,35,97,8,37,3,30,80,97,43,50,83,10,2,-3,-3,-3,0,0,2,26.57789471,-3,-3,0.375,2,0,0,0,2.5,3,0,0,0,3,30,32500,5,1,4,60,0,0,0,0,0,0,1,6,0,0,1,0
366,,,,,,,,,,,,,,INFJ,39,30,49,64,46,58,68,71,69,4,60,70,60,77,57,63,47,57,73,3,2,1,2,0,0,5,27.21440743,2,2,6,-2,1,2,3,2.5,1,2.5,0,0,3,50,175000,0,1,5,42,0,0,0,0,0,0,0,8,0,1,0,0
367,,,,,,,,,,,,,,INFJ,18,33,40,77,26,71,71,58,67,4,60,67,30,63,70,67,17,37,73,0,-3,-2,3,0,1,1,30.5785124,-2,-1,0.75,3,0.5,3,0,2.5,1,1,0,1,3,30,17500,0,-3,2,54,1,0,0,2,0,0,0,6.5,0,0,1,2
368,,,,,,,,,,,,,,ISTJ,20,49,56,71,18,50,72,53,40,9,40,53,23,37,47,47,27,47,70,2,2,-2,2,0,0,5,20.53746409,2,2,6,-2,1,4,4,0,1,0,0,0,0,45,100000,0,-2,2,40,0,0,0,0,0,1,0,6,0,0,0,0
369,,,,,,,,,,,,,,ISTJ,0,82,83,77,0,19,24,36,63,9,23,7,13,40,23,60,3,40,83,0,-2,-1,2,0,0,2,50.62089116,-1,2,0,-3,0,0,0,0,3,0,0,0,3,20,17500,0,2,2,51,0,0,0,0,0,0,0,7,0,0,0,0
370,,,,,,,,,,,,,,ENFP,72,31,50,57,67,75,81,79,72,3,80,87,93,80,87,90,67,67,97,2,3,3,3,0,2,1,16.53111155,2,3,16,3,1,5,4,1,1,1,1,1,0,52,100000,15,2,6,26,1,0,0,0,0,0,0,8,1,1,1,0
371,,,,,,,,,,,,,,ESFJ,47,46,32,76,40,68,78,56,18,2,43,70,27,40,73,67,53,40,70,2,2,2,1,1,0,5,25.5307713,1,2,0.375,-2,1,5,4,0,0,0,0,2.5,0,40,72500,5,-2,3,55,0,0,0,0,1,0,0,8,0,0,0,0
372,,,,,,,,,,,,,,ENTP,47,32,83,16,53,69,13,38,35,7,30,0,47,33,73,33,93,90,10,2,3,3,3,0,0,4,39.44485026,1,3,1.5,-3,1,4,4,2.5,0,1,0,1,1,45,100000,25,-1,5,40,0,0,0,0,0,0,0,6,0,0,1,0
373,,,,,,,,,,,,,,ENFP,62,41,51,60,69,60,65,81,53,3,80,70,90,77,57,70,53,63,83,2,2,2,2,5,12,5,27.54820937,2,1,1.5,2,1,5,1,2.5,1,2.5,3,1,2,4,50000,15,2,5,36,0,0,0,1,0,1,0,7,1,2.5,2,0
374,,,,,,,,,,,,,,INTJ,41,42,62,68,40,61,79,79,58,1,83,63,53,63,70,70,40,57,63,1,-2,1,0,1,0,2,25.5307713,1,-1,3,2,1,2,1,2.5,0,1,3,1,2,40,32500,15,2,4,26,0,0,0,0,0,0,0,7,0,1,2,0
375,,,,,,,,,,,,,,INFJ,8,22,52,68,4,76,68,69,75,9,67,60,27,80,87,60,13,43,93,0,-3,-1,-3,1,2,4,38.34743088,1,1,1.5,-3,0.5,7,0,2.5,1,0,0,0,0,30,50000,0,-1,2,33,0,0,0,0,0,0,1,6,0,0,0,0
376,,,,,,,,,,,,,,ENFP,66,22,42,50,68,86,85,76,38,8,77,70,70,57,90,67,70,80,47,0,-2,-1,-2,0,0,15,22.31404959,1,0,12,2,1,15,3,2.5,1,0,0,0,2,40,50000,0,0,4,37,0,0,0,0,0,0,0,7,5,0,0,1
377,,,,,,,,,,,,,,ISTJ,18,58,67,74,17,28,76,81,94,9,83,77,33,67,23,80,20,57,93,0,-3,-2,-3,0,3,3,46.86908219,-3,-1,1.5,-3,1,3,0,0,4,2.5,0,0,2,50,100000,0,0,5,36,1,0,0,0,0,0,0,6,1,0,0,0
378,,,,,,,,,,,,,,ISFJ,33,66,47,84,32,47,72,69,57,9,67,70,50,63,53,77,27,33,87,0,1,1,2,0,10,5,28.21822091,0,2,0.375,1,1,3,4,2.5,0,0,0,0,1,40,50000,0,-1,4,50,0,0,0,0,0,0,0,7,0,0,0,3
379,,,,,,,,,,,,,,ESTP,64,50,60,62,60,72,76,63,19,7,43,67,40,17,70,53,60,57,40,1,1,-2,2,0,0,5,28.40550436,-1,2,1.5,-2,1,6,3,5,0,1,0,0,0,55,32500,5,-1,3,50,0,0,0,0,0,0,1,6,0,0,0,2
380,,,,,,,,,,,,,,ESFJ,91,49,33,86,97,78,72,93,64,8,90,53,87,60,70,67,80,90,37,0,3,2,0,0,0,5,25.2361775,2,3,3,3,1,5,0,2.5,0,2.5,3,0,2,40,32500,45,3,5,56,1,0,0,0,0,0,0,8,0,0,0,0
381,,,,,,,,,,,,,,INTP,19,42,59,61,22,75,57,47,13,5,40,40,17,37,93,63,17,43,90,0,2,-1,0,0,0,4,24.1446787,1,1,0,-3,0.5,2,0,0,0,0,0,0,0,16,4500,0,-2,2,38,0,0,0,0,0,0,0,7.5,0,0,0,0
382,,,,,,,,,,,,,,ISTJ,16,59,88,94,19,53,35,88,31,1,90,20,37,27,67,40,43,67,27,2,-1,-1,3,0,1,8,18.68512111,-3,2,0,-3,0.5,2,0,7,0,2.5,0,0,2,47,50000,0,0,2,25,0,0,0,0,1,0,0,6.5,0,0,0,0
383,,,,,,,,,,,,,,ISFP,36,59,11,53,35,22,97,24,58,2,3,97,0,67,40,83,27,20,97,0,-3,-3,-3,0,0,3,42.84972299,1,2,0,-3,0,6,0,0,0,2.5,0,0,2,10,4500,15,-3,2,45,1,0,0,0,0,0,0,8,0,0,0,0
384,,,,,,,,,,,,,,INTJ,6,40,58,71,4,67,67,71,43,9,67,77,13,43,73,67,3,30,87,0,-2,2,2,0,0,3,24.609375,1,2,0,-3,0,3,3,0,1,0,0,0,1,35,50000,0,0,2,48,1,0,0,0,0,0,0,7,0,0,0,1
385,,,,,,,,,,,,,,ISFP,27,63,49,62,28,40,67,36,71,4,30,53,40,77,43,67,13,43,57,2,-2,1,-3,0,0,1,47.4609375,-1,-2,3,-3,1,0,0,0,1,2.5,0,0,3,60,32500,0,-2,2,33,1,0,0,0,0,1,0,8,0,0,0,0
386,,,,,,,,,,,,,,ISFJ,20,62,43,74,18,33,68,78,56,9,77,60,43,43,37,70,30,37,80,0,-1,2,-2,0,0,3,24.62809917,-2,-1,0,-3,1,1,0,2.5,0,0,0,0,0,42,32500,0,2,5,35,0,0,0,0,0,0,0,6,0,0,0,0
387,,,,,,,,,,,,,,INFP,39,16,30,56,39,97,86,83,43,5,87,77,60,53,100,47,60,57,57,1,3,3,2,0,0,3,23.78772112,3,1,12,1,1,3,4,2.5,0,0,0,0,2,60,32500,0,0,6,55,1,0,0,0,1,0,0,8,0,0,0,1
388,,,,,,,,,,,,,,INTP,28,39,56,49,26,69,49,44,14,5,33,43,7,40,73,57,37,57,60,0,-1,-2,-1,1,0,12,25.35076531,-2,1,0,-3,0,5,0,0,0,0,0,0,1,20,100000,0,2,5,27,0,0,0,0,0,0,0,7,0,0,0,0
389,,,,,,,,,,,,,,ENTP,62,22,73,39,67,81,58,67,25,8,70,43,57,23,77,30,70,80,37,2,3,3,3,0,0,7,26.03360117,3,2,6,-3,1,1,4,0,0,1,0,0,0,55,72500,0,0,5,38,0,0,0,0,0,0,0,6.5,0,0,0,0
390,,,,,,,,,,,,,,ISTJ,33,46,62,72,26,72,57,65,58,6,57,57,50,43,80,73,40,63,67,2,-1,1,-3,0,0,2,29.56194571,1,-3,3,1,1,2,4,1,3,1,0,1,1,45,72500,0,-2,5,49,0,0,0,0,0,0,0,8,0,0,0,0
391,,,,,,,,,,,,,,INFP,24,38,52,43,33,71,81,58,46,4,60,67,17,80,87,57,33,70,53,2,-1,-1,-2,0,0,4,32.24939532,1,-1,1.5,2,1,4,1,1,1,1,0,2.5,2,50,50000,5,-3,2,37,0,0,0,0,0,1,0,7.5,0,0,0,0
392,,,,,,,,,,,,,,ENFJ,68,42,43,67,72,68,81,76,28,7,73,70,63,53,77,60,70,67,40,2,1,1,-1,0,0,5,24.1446787,2,2,3,-3,1,3,0,2.5,0,1,0,4.5,2,40,50000,0,0,5,35,0,0,0,0,0,0,0,8,0,1,0,0
393,,,,,,,,,,,,,,ISTP,21,76,60,60,25,28,54,42,28,9,30,63,20,33,30,53,20,53,70,0,1,-1,0,0,0,3,49.30606282,-2,0,0,2,1,1,4,0,1,0,0,0,1,38,72500,0,2,5,50,0,0,0,1,0,0,0,6,0,0,0,0
394,,,,,,,,,,,,,,ESTJ,58,61,69,74,57,68,57,81,24,7,80,40,57,33,63,57,67,50,60,0,2,2,0,0,0,4,22.86499304,1,1,1.5,2,1,3,0,1,0,0,0,2.5,0,50,100000,0,0,7,39,1,0,0,0,0,1,0,8,0,0,0,0
395,,,,,,,,,,,,,,INTP,39,29,54,24,46,79,72,43,43,6,37,70,30,27,90,83,43,33,83,2,3,1,3,0,1,3,19.9853908,2,2,0,2,1,4,4,5,0,0,0,1,1,40,32500,0,-2,2,34,0,0,0,0,0,0,0,7,0,0,0,0
396,,,,,,,,,,,,,,ISTJ,30,46,57,70,33,60,65,75,38,6,83,57,37,43,70,80,30,60,70,0,-1,-2,1,5,0,6,29.4214876,2,-1,0.75,-3,0,1,3,0,0,0,0,0,1,20,17500,0,-3,4,33,0,0,0,0,1,0,0,6,2,0,0,2
397,,,,,,,,,,,,,,ENTP,59,27,58,58,71,74,76,79,61,8,83,73,53,57,77,50,60,73,27,0,-2,-2,-2,0,0,5,23.35640138,-2,-1,3,-3,0,1,0,7,0,0,0,0,4,30,4500,0,3,5,51,0,0,0,0,0,0,1,6,0,0,0,1
398,,,,,,,,,,,,,,ESTP,56,44,60,52,50,65,69,76,21,7,77,57,53,43,63,60,77,70,40,3,1,1,-1,1,0,8,20.3530605,1,-1,1.5,-2,1,4,4,2.5,1,2.5,0,1,2,50,225000,0,-2,6,57,0,0,0,0,0,1,0,6,1,0,0,0
399,,,,,,,,,,,,,,ENTP,74,30,54,51,81,82,69,74,61,3,63,63,97,77,87,70,53,60,60,2,3,3,3,1,3,3,0.631313131,3,3,0.375,3,1,2,0,1,0,2.5,0,0,1,32,72500,5,2,5,26,0,0,0,0,1,0,0,8,1,2.5,0,0
400,,,,,,,,,,,,,,ENFJ,80,33,46,70,79,82,82,97,17,1,100,90,73,63,73,73,90,80,63,3,3,3,3,1,0,10,24.4236726,2,3,12,2,1,3,4,1,0,2.5,3,2.5,0,38,72500,15,1,5,26,0,0,2,0,0,0,1,6,0,2.5,0,0
401,,,,,,,,,,,,,,INFJ,36,29,32,74,51,68,88,78,28,4,80,80,17,77,63,63,50,37,63,0,3,2,3,0,0,5,22.01814144,3,3,0,1,0.5,2,3,2.5,0,0,0,0,0,20,4500,0,-3,2,26,1,0,0,0,0,1,0,7,0,0,0,0
402,,,,,,,,,,,,,,ENFP,56,42,53,57,56,69,76,67,25,2,57,73,23,50,77,67,53,50,57,2,2,2,2,1,0,3,19.73460842,2,2,3,2,0.5,2,0,1,0,0,0,0,2,25,32500,15,0,5,44,1,0,0,0,0,0,1,7,0,0,0,1
403,,,,,,,,,,,,,,ESFJ,72,46,48,66,76,64,75,85,40,3,83,73,67,47,73,70,63,67,60,2,2,2,0,1,0,5,20.57142857,2,2,1.5,3,1,5,0,2.5,0,2.5,1,0,1,40,50000,5,-2,5,25,1,0,0,1,0,0,0,7,0,0,1,0
404,,,,,,,,,,,,,,ESTJ,46,46,63,71,46,61,63,75,47,1,80,63,47,47,63,60,43,50,63,2,1,0,2,0,2,1,23.50780533,2,2,3,2,1,1,4,0,0,0,0,1,1,35,50000,5,-2,7,33,0,0,0,0,0,0,1,6,1,0,0,1
405,,,,,,,,,,,,,,INFJ,37,39,26,66,38,53,90,65,28,2,63,83,17,47,53,63,43,43,73,3,2,2,3,0,0,5,24.7130102,2,2,3,-2,1,7,4,2.5,0,2.5,0,0,1,40,175000,0,2,2,52,1,0,0,0,0,0,0,7,0,0,0,0
406,,,,,,,,,,,,,,ENTJ,93,32,58,74,92,89,90,92,13,7,90,73,77,33,100,67,93,73,20,0,2,2,0,0,0,5,24.1446787,3,3,6,-3,1,10,0,7,0,2.5,0,1,1,40,32500,0,-2,2,32,0,0,0,0,0,0,0,8,0,1,0,0
407,,,,,,,,,,,,,,ESFJ,62,48,48,83,63,78,79,92,57,3,93,90,87,63,80,57,80,67,57,0,2,2,3,0,0,10,27.27272727,1,3,0.375,-2,1,15,3,2.5,1,2.5,11,0,2,50,132500,5,-2,2,20,0,0,0,0,0,0,0,8,2,0,0,0
408,,,,,,,,,,,,,,ISTJ,30,51,64,79,43,72,43,68,42,7,63,33,43,50,73,43,63,70,47,3,1,2,2,0,0,4,21.17647059,2,1,0.375,2,0,0,0,0,0,0,0,0,1,20,32500,0,2,3,63,1,0,0,0,0,0,1,6.5,0,0,0,0
409,,,,,,,,,,,,,,ISTJ,10,52,71,78,15,76,64,74,47,9,73,50,13,57,73,53,17,67,83,2,2,0,3,0,0,7,25.70698144,2,2,0.75,-3,1,1,4,0,1,0,0,0,0,40,32500,0,-2,4,36,0,0,0,0,0,0,0,6,1,0,0,0
410,,,,,,,,,,,,,,ISFP,23,44,49,50,14,68,81,50,69,4,43,83,47,80,73,67,20,43,90,0,-1,0,1,5,0,2,25.32029086,-1,-1,0.375,1,0,2,3,0,1,1,0,0,2,4,4500,0,-1,6,27,1,3.5,0,0,0,0,0,8,0,0,0,0
411,,,,,,,,,,,,,,INFJ,33,41,52,78,31,78,82,85,49,6,83,67,37,33,90,83,43,60,73,2,0,1,-1,0,0,3,22.72440348,1,-1,6,-3,1,5,1,7,3,2.5,1,1,2,40,50000,15,0,4,39,0,0,0,0,0,0,0,7,2,0,0,0
412,,,,,,,,,,,,,,ENFP,50,29,30,44,49,71,86,40,39,2,37,83,40,77,80,43,77,67,40,0,-3,-2,-2,0,1,5,33.3984375,-2,-1,0,-3,0.5,4,0,1,1,0,0,1,2,25,32500,0,-3,2,52,1,0,0,0,0,0,0,7,1,0,0,2
413,,,,,,,,,,,,,,ENFP,72,26,32,59,86,88,89,100,26,2,100,100,87,63,97,87,73,73,63,2,3,3,3,1,0,10,22.40878677,3,3,1.5,3,1,3,4,1,0,1,1,2.5,0,42,72500,5,1,5,28,0,0,1,0,0,0,0,6,0,1,0,0
414,,,,,,,,,,,,,,ESFP,93,86,53,61,83,53,69,65,0,8,63,60,67,0,50,77,73,90,70,0,3,3,3,0,0,4,29.86111111,3,3,6,3,0,4,0,2.5,0,2.5,1,0,0,0,4500,0,2,2,43,0,0,0,0,0,0,0,8,0,0,0,0
415,,,,,,,,,,,,,,ENTP,78,34,61,54,89,88,79,100,32,3,100,100,100,73,100,80,70,80,77,1,3,3,3,0,0,5,21.2962963,3,3,6,2,1,3,4,1,0,1,1,1,1,50,72500,15,1,5,26,0,0,0,0,0,0,0,6,0,1,0,2
416,,,,,,,,,,,,,,ISTJ,23,67,86,80,24,63,42,68,25,8,63,30,20,23,67,53,33,60,50,0,-1,-3,-3,0,0,2,40.7148616,-1,-1,0,-3,0,2,0,0,0,0,0,0,1,10,50000,0,2,2,49,0,0,0,0,0,0,0,6,0,0,0,0
